iter,sf,qid,itype,prob,incremental,use_duckdb,is_scalar,prune,num_threads,distinct,batch,post_time,gen_time,prep_time,compile_time,eval_time,prune_time,lineage_time,ksemimodule_timing,spec,lineage_count,lineage_count_prune,lineage_size_mb,lineage_size_mb_prune,use_gb_backward_lineage,code_gen_time,data_time
1,1.0,1,DENSE_DELETE,0.001,false,false,true,true,1,1,4,0.117568,0.09328,0.021294,1.070157,0.028763,0.0,0.042823,1.6083025932312012,,11833182,11833182,45.140007,45.140007,false,5.4e-05,0.302379
2,1.0,1,DENSE_DELETE,0.001,false,false,true,true,1,1,4,0.118194,0.093121,0.021195,1.06418,0.028436,0.0,0.042673,1.6007764339447021,,11833182,11833182,45.140007,45.140007,false,4.8e-05,0.301815
1,1.0,1,DENSE_DELETE,0.002,false,false,true,true,1,1,4,0.118231,0.093128,0.021251,1.079192,0.028662,0.0,0.042735,1.5776655673980713,,11833182,11833182,45.140007,45.140007,false,5.1e-05,0.306208
2,1.0,1,DENSE_DELETE,0.002,false,false,true,true,1,1,4,0.118742,0.093149,0.021277,1.066047,0.028729,0.0,0.043067,1.5946731567382812,,11833182,11833182,45.140007,45.140007,false,5e-05,0.300959
1,1.0,1,DENSE_DELETE,0.005,false,false,true,true,1,1,4,0.118131,0.093097,0.021206,1.069492,0.028874,0.0,0.042887,1.5837154388427734,,11833182,11833182,45.140007,45.140007,false,4.9e-05,0.301132
2,1.0,1,DENSE_DELETE,0.005,false,false,true,true,1,1,4,0.119152,0.09314,0.021299,1.067473,0.028987,0.0,0.043115,1.5946545600891113,,11833182,11833182,45.140007,45.140007,false,4.9e-05,0.302332
1,1.0,1,DENSE_DELETE,0.01,false,false,true,true,1,1,4,0.119083,0.092822,0.021325,1.0678,0.029354,0.0,0.043076,1.5871031284332275,,11833182,11833182,45.140007,45.140007,false,6.2e-05,0.303427
2,1.0,1,DENSE_DELETE,0.01,false,false,true,true,1,1,4,0.118466,0.093051,0.0214,1.066535,0.029291,0.0,0.043256,1.589242935180664,,11833182,11833182,45.140007,45.140007,false,5.4e-05,0.308719
1,1.0,1,DENSE_DELETE,0.02,false,false,true,true,1,1,4,0.118672,0.093271,0.021322,1.064333,0.029978,0.0,0.043043,1.5763096809387207,,11833182,11833182,45.140007,45.140007,false,5.2e-05,0.302809
2,1.0,1,DENSE_DELETE,0.02,false,false,true,true,1,1,4,0.118595,0.093182,0.021414,1.069703,0.03003,0.0,0.043368,1.5910041332244873,,11833182,11833182,45.140007,45.140007,false,5.1e-05,0.30328
1,1.0,1,DENSE_DELETE,0.05,false,false,true,true,1,1,4,0.118583,0.09302,0.021593,1.06539,0.032413,0.0,0.043531,1.6127724647521973,,11833182,11833182,45.140007,45.140007,false,5.4e-05,0.304148
2,1.0,1,DENSE_DELETE,0.05,false,false,true,true,1,1,4,0.117444,0.093056,0.021319,1.071324,0.032113,0.0,0.042889,1.593667984008789,,11833182,11833182,45.140007,45.140007,false,5.1e-05,0.305729
1,1.0,1,DENSE_DELETE,0.1,false,false,true,true,1,1,4,0.118178,0.09306,0.021329,1.070933,0.036264,0.0,0.043041,1.5841946601867676,,11833182,11833182,45.140007,45.140007,false,6e-05,0.30163
2,1.0,1,DENSE_DELETE,0.1,false,false,true,true,1,1,4,0.118188,0.093036,0.021239,1.126126,0.035964,0.0,0.042878,1.5842714309692383,,11833182,11833182,45.140007,45.140007,false,5.1e-05,0.302314
1,1.0,1,DENSE_DELETE,0.2,false,false,true,true,1,1,4,0.118131,0.092905,0.021332,1.066411,0.044252,0.0,0.042607,1.5925660133361816,,11833182,11833182,45.140007,45.140007,false,4.9e-05,0.300344
2,1.0,1,DENSE_DELETE,0.2,false,false,true,true,1,1,4,0.11802,0.093014,0.02129,1.07271,0.044083,0.0,0.043137,1.5736703872680664,,11833182,11833182,45.140007,45.140007,false,5.2e-05,0.303147
1,1.0,1,DENSE_DELETE,0.3,false,false,true,true,1,1,4,0.118327,0.093271,0.021264,1.067844,0.052833,0.0,0.04332,1.5884857177734375,,11833182,11833182,45.140007,45.140007,false,5e-05,0.302505
2,1.0,1,DENSE_DELETE,0.3,false,false,true,true,1,1,4,0.119099,0.093008,0.021239,1.067847,0.052879,0.0,0.043542,1.5938119888305664,,11833182,11833182,45.140007,45.140007,false,4.9e-05,0.304243
1,1.0,1,DENSE_DELETE,0.4,false,false,true,true,1,1,4,0.118482,0.093161,0.021239,1.073103,0.061638,0.0,0.043165,1.5816879272460938,,11833182,11833182,45.140007,45.140007,false,4.9e-05,0.304284
2,1.0,1,DENSE_DELETE,0.4,false,false,true,true,1,1,4,0.117408,0.093027,0.021369,1.063066,0.061551,0.0,0.042931,1.6011366844177246,,11833182,11833182,45.140007,45.140007,false,5.1e-05,0.301586
1,1.0,1,DENSE_DELETE,0.5,false,false,true,true,1,1,4,0.118043,0.092966,0.021319,1.065601,0.066153,0.0,0.043658,1.6052649021148682,,11833182,11833182,45.140007,45.140007,false,5.5e-05,0.303301
2,1.0,1,DENSE_DELETE,0.5,false,false,true,true,1,1,4,0.118208,0.093236,0.021267,1.068185,0.066021,0.0,0.043295,1.5774321556091309,,11833182,11833182,45.140007,45.140007,false,5e-05,0.302826
1,1.0,3,DENSE_DELETE,0.001,false,false,true,true,1,1,4,0.034552,0.000801,0.000595,1.159057,8.4e-05,0.013109,0.027765,0.3294253349304199,,4237529,132083,16.16489,0.503857,false,1.8e-05,0.000166
2,1.0,3,DENSE_DELETE,0.001,false,false,true,true,1,1,4,0.034838,0.000799,0.000632,1.09675,9.9e-05,0.013093,0.02789,0.33188700675964355,,4237529,132083,16.16489,0.503857,false,1.9e-05,0.000172
1,1.0,3,DENSE_DELETE,0.002,false,false,true,true,1,1,4,0.03566,0.000932,0.000604,1.056496,8.3e-05,0.013198,0.027975,0.32642483711242676,,4237529,132083,16.16489,0.503857,false,1.8e-05,0.000185
