sf,qid,itype,prob,incremental,use_duckdb,is_scalar,prune,num_threads,distinct,batch,post_time,gen_time,prep_time,compile_time,eval_time,prune_time,lineage_time,ksemimodule_timing,spec,lineage_count,lineage_count_prune,lineage_size_mb,lineage_size_mb_prune,use_gb_backward_lineage
1.0,1,DENSE_DELETE,0.1,false,false,true,true,1,1,4,3e-06,0.090124,0.344961,1.112858,0.048638,0.0,0.079507,1.7497131824493408,,11833182,11833182,45.140007,45.140007,true
1.0,1,DENSE_DELETE,0.1,false,false,true,true,1,1,4,3e-06,0.091769,0.346474,1.102355,0.028127,0.0,0.045002,1.7579827308654785,,11833182,11833182,45.140007,45.140007,false
1.0,3,DENSE_DELETE,0.1,false,false,true,true,1,1,4,4e-06,0.00079,0.000852,1.094206,0.000199,0.013256,0.037639,0.37281012535095215,,4237529,132083,16.16489,0.503857,true
1.0,3,DENSE_DELETE,0.1,false,false,true,true,1,1,4,4e-06,0.000791,0.000875,1.093768,8.8e-05,0.013207,0.028304,0.376420259475708,,4237529,132083,16.16489,0.503857,false
1.0,5,DENSE_DELETE,0.1,false,false,true,true,1,1,4,5e-06,0.000349,0.000833,1.102675,5.3e-05,0.010595,0.033438,0.40165066719055176,,6693785,60951,25.534763,0.23251,true
1.0,5,DENSE_DELETE,0.1,false,false,true,true,1,1,4,4e-06,0.000367,0.000499,1.09751,4.6e-05,0.010622,0.033031,0.40269923210144043,,6693785,60951,25.534763,0.23251,false
1.0,7,DENSE_DELETE,0.1,false,false,true,true,1,1,4,6e-06,0.000274,0.001838,1.099321,4.1e-05,0.009285,0.068099,1.543004035949707,,8817246,50002,33.635124,0.190742,true
1.0,7,DENSE_DELETE,0.1,false,false,true,true,1,1,4,6e-06,0.00027,0.001858,1.100419,4e-05,0.009287,0.06789,1.5544283390045166,,8817246,50002,33.635124,0.190742,false
1.0,9,DENSE_DELETE,0.1,false,false,true,true,1,1,4,5e-06,0.010329,0.004953,1.101242,0.001975,0.340951,0.062777,1.0826404094696045,,9575428,1734061,36.527359,6.614918,true
1.0,9,DENSE_DELETE,0.1,false,false,true,true,1,1,4,5e-06,0.010303,0.004986,1.097138,0.001032,0.342241,0.061446,1.0863008499145508,,9575428,1734061,36.527359,6.614918,false
1.0,10,DENSE_DELETE,0.1,false,false,true,true,1,1,4,4e-06,0.003141,0.001768,1.0958,0.000833,0.074003,0.07341,0.8333239555358887,,2122441,518130,8.09647,1.976509,true
1.0,10,DENSE_DELETE,0.1,false,false,true,true,1,1,4,3e-06,0.00326,0.001793,1.08402,0.000342,0.073868,0.044197,0.8398454189300537,,2122441,518130,8.09647,1.976509,false
1.0,12,DENSE_DELETE,0.1,false,false,true,true,1,1,4,3e-06,0.000941,0.000852,1.110758,9.6e-05,0.011607,0.014194,0.2727360725402832,,2478737,153051,9.455631,0.583843,true
1.0,12,DENSE_DELETE,0.1,false,false,true,true,1,1,4,3e-06,0.000939,0.000842,1.103336,8.3e-05,0.011487,0.013993,0.2720608711242676,,2478737,153051,9.455631,0.583843,false
1.0,1,DENSE_DELETE,0.1,false,false,true,false,1,1,4,2e-06,0.091553,0.345324,1.112735,0.053777,0.0,0.079419,1.7251861095428467,,11833182,11833182,45.140007,45.140007,true
1.0,1,DENSE_DELETE,0.1,false,false,true,false,1,1,4,2e-06,0.092856,0.345748,1.096683,0.033733,0.0,0.044588,1.7253050804138184,,11833182,11833182,45.140007,45.140007,false
